city,prov,time,pm25,pmnew
Alxa League,Inner Mongolia,2017/2/1,37,37.75
Ankang,Shaanxi,2017/2/1,60,57.12
Anyang,Henan,2017/2/1,117,115.59
Anshan,Liaoning,2017/2/1,68,68.64
Bayannur,Inner Mongolia,2017/2/1,44,39.78
Baicheng,Jilin,2017/2/1,32,32.55
Baotou,Inner Mongolia,2017/2/1,69,63.2
Baoji,Shaanxi,2017/2/1,108,98.01
Baoding,Hebei,2017/2/1,146,146.69
Beijing,Beijing,2017/2/1,71,71.01
Benxi,Liaoning,2017/2/1,55,55.45
Binzhou,Shandong,2017/2/1,93,93.06
Bozhou,Xinjiang,2017/2/1,63,63.98
Cangzhou,Hebei,2017/2/1,94,93.95
Changjizhou,Xinjiang,2017/2/1,158,160.5
Chaoyang,Liaoning,2017/2/1,59,58.9
Chengde,Hebei,2017/2/1,43,41.7
Dalian,Liaoning,2017/2/1,49,49.02
Daqing,Heilongjiang,2017/2/1,37,38
Datong,Shanxi,2017/2/1,41,37.18
Daxinganling,Heilongjiang,2017/2/1,22,22.23
Dandong,Liaoning,2017/2/1,46,46.98
Dezhou,Shandong,2017/2/1,104,104.19
Dingxi,Gansu,2017/2/1,47,36.28
Dongying,Shandong,2017/2/1,84,84.1
Ordos,Inner Mongolia,2017/2/1,28,23.96
Fushun,Liaoning,2017/2/1,62,63.48
Fuxin,Liaoning,2017/2/1,57,57.43
Gannan,Gansu,2017/2/1,58,40.11
Guyuan,Ningxia,2017/2/1,35,28.79
Guoluo,Qinghai,2017/2/1,35,22.52
Harbin,Heilongjiang,2017/2/1,73,75.52
Hami,Xinjiang,2017/2/1,29,26.84
Haibei,Qinghai,2017/2/1,27,NA
Haidong,Qinghai,2017/2/1,42,33.92
Hainan,Qinghai,2017/2/1,28,19.99
Haixi,Qinghai,2017/2/1,18,12.5
Handan,Hebei,2017/2/1,105,103.9
Hanzhong,Shaanxi,2017/2/1,83,77.13
Hetian,Xinjiang,2017/2/1,31.75,26.84
Heze,Shandong,2017/2/1,105,103.87
Hegang,Heilongjiang,2017/2/1,39,39.7
Heihe,Heilongjiang,2017/2/1,28,29.01
Hengshui,Hebei,2017/2/1,109,108.7
Hohhot,Inner Mongolia,2017/2/1,64,57.35
Hulunbuir,Inner Mongolia,2017/2/1,23,23
Huludao,Liaoning,2017/2/1,68,69.39
Huangnan,Qinghai,2017/2/1,42,30.24
Jixi,Heilongjiang,2017/2/1,41,41.17
Jilin,Jilin,2017/2/1,65,65.96
Jinan,Shandong,2017/2/1,83,80.9
Jining,Shandong,2017/2/1,80,79.31
Jinzhou,Liaoning,2017/2/1,71,71.68
Jincheng,Shanxi,2017/2/1,75,69.33
Jiuquan,Gansu,2017/2/1,29,24.66
Kaifeng,Henan,2017/2/1,91,89.4
Kelamayi,Xinjiang,2017/2/1,69,69.11
Kezilesu,Xinjiang,2017/2/1,17,14.56
Lanzhou,Gansu,2017/2/1,62,50.69
Langfang,Hebei,2017/2/1,87,87.65
Liaocheng,Shandong,2017/2/1,104,103.31
Linxia,Gansu,2017/2/1,80,63.86
Linyi,Shandong,2017/2/1,87,85.51
Longnan,Gansu,2017/2/1,40,34.49
Lvliang,Shanxi,2017/2/1,68,61.27
